* Sample of n-grams (top 50,000 words, where the first word in the string starts with "m")
* This sample data is taken from the one billion word Corpus of Contemporary American English (COCA)
(www.english-corpora.org/coca), which is the only corpus of English that is large, up-to-date, and is based on a wide range of genres.
* For complete n-grams data from COCA, please see https://www.ngrams.info
* For an explanation of the columns below, see https://www.wordfrequency.info/files.asp. This is format #2 on that page.
----- Before converting file to Excel, remove the first seven lines, with the first line being the one starting with "rank"

29207	m	)	(	m	z	)	(	z
40	market	.	at	the	n	y	i	a
40	market	in	new	york	n	i	n	n
40	marketing	,	sales	,	n	y	n	y
40	marketing	and	advertising	.	n	c	n	y
40	marketing	and	sales	.	n	c	n	y
40	marketing	efforts	.	<p>	n	n	y	y
40	marriage	,	"	she	n	y	y	p
40	marriage	,	and	it	n	y	c	p
40	marriage	.	i	think	n	y	p	v
40	marriage	.	this	is	n	y	d	v
40	married	.	yeah	,	j	.	u	,
40	married	.	you	're	j	.	p	v
40	married	couples	.	<p>	j	n	y	y
40	married	to	a	white	j	i	a	j
40	marry	.	"	<p>	v	y	y	y
40	martin	at	the	pentagon	n	i	a	n
40	martin	luther	king	had	n	n	n	v
40	mass	destruction	.	but	j	n	y	c
40	mass	of	our	sun	n	i	a	n
40	masses	.	"	<p>	n	y	y	y
40	massive	than	the	sun	j	c	a	n
40	masterpiece	,	138	s	n	,	m	n
40	mater	dei	,	santa	n	n	y	n
40	materials	as	well	as	n	i	i	i
40	math	does	n't	add	n	v	x	v
40	matter	,	it	's	v	y	p	v
40	matter	at	hand	.	n	i	n	.
40	matter	how	good	a	r	r	j	a
40	matter	how	many	years	r	r	d	n
40	matter	how	small	.	r	r	j	y
40	matter	is	that	i	n	v	c	p
40	matter	so	much	.	v	r	d	y
40	matter	to	you	.	v	i	p	.
40	matter	what	,	we	d	d	y	p
40	matter	what	.	he	d	d	y	p
40	matter	what	.	that	d	d	y	d
40	matter	what	anybody	says	d	d	p	v
40	matter	what	they	did	d	d	p	v
40	matter	what	we	did	d	d	p	v
40	matter	what	you	call	d	d	p	v
40	may	2	,	2011	n	m	y	m
40	may	already	be	a	v	r	v	a
40	may	also	be	considered	v	r	v	v
40	may	also	be	important	v	r	v	j
40	may	also	explain	the	v	r	v	a
40	may	answer	the	question	v	v	a	n
40	may	apply	for	a	v	v	i	a
40	may	arise	from	the	v	v	i	a
40	may	be	a	reasonable	v	v	a	j
40	may	be	asking	yourself	v	v	v	p
40	may	be	hope	for	v	v	n	i
40	may	be	more	comfortable	v	v	r	j
40	may	be	more	useful	v	v	r	j
40	may	be	perceived	as	v	v	v	i
40	may	be	removed	in	v	v	v	i
40	may	be	the	beginning	v	v	a	n
40	may	be	thinking	that	v	v	v	c
40	may	be	too	soon	v	v	r	r
40	may	be	your	only	v	v	a	j
40	may	break	my	bones	v	v	a	n
40	may	end	up	having	v	v	r	v
40	may	even	have	to	v	r	v	t
40	may	have	been	doing	v	v	v	v
40	may	have	been	something	v	v	v	p
40	may	have	been	stolen	v	v	v	v
40	may	have	come	up	v	v	v	r
40	may	have	given	the	v	v	v	a
40	may	have	gotten	a	v	v	v	a
40	may	have	happened	in	v	v	v	i
40	may	have	originated	in	v	v	v	i
40	may	i	?	i	v	p	?	p
40	may	i	present	to	v	p	v	i
40	may	know	how	to	v	v	r	t
40	may	not	appeal	to	v	x	v	i
40	may	not	be	important	v	x	v	j
40	may	not	be	present	v	x	v	j
40	may	not	be	successful	v	x	v	j
40	may	not	fully	understand	v	x	r	v
40	may	not	get	to	v	x	v	t
40	may	not	like	this	v	x	v	d
40	may	suggest	that	the	v	v	c	a
40	may	think	they	're	v	v	p	v
40	may	we	help	you	v	p	v	p
40	may	well	end	up	v	r	v	r
40	maybe	,	he	thought	r	y	p	v
40	maybe	,	i	thought	r	y	p	v
40	maybe	,	maybe	,	r	y	r	y
40	maybe	.	"	he	r	y	y	p
40	maybe	.	but	if	r	.	c	c
40	maybe	?	"	<p>	r	y	y	y
40	maybe	he	is	a	r	p	v	a
40	maybe	i	should	make	r	p	v	v
40	maybe	i	should	stay	r	p	v	v
40	maybe	i	would	be	r	p	v	v
40	maybe	it	's	nothing	r	p	v	p
40	maybe	we	can	put	r	p	v	v
40	maybe	you	're	a	r	p	v	r
40	maybe	you	could	explain	r	p	v	v
40	maybe	you	had	a	r	p	v	a
40	maybe	you	need	some	r	p	v	d
40	maybe	you	should	sit	r	p	v	v
40	mayday	!	this	is	n	!	d	v
40	maynard	good	stoddard	<p>	n	n	n	y
40	mccain	.	he	's	n	y	p	v
40	mcgwire	and	sammy	sosa	n	c	n	n
40	mcintyre	:	well	,	n	y	r	y
40	me	!	i	just	p	!	p	r
40	me	!	i	mean	p	!	p	v
40	me	!	let	go	p	!	v	v
40	me	!	you	can	p	!	p	v
40	me	#	#	and	p	f	f	c
40	me	,	"	hey	p	,	"	u
40	me	,	"	is	p	,	"	v
40	me	,	"	why	p	,	"	r
40	me	,	and	not	p	,	c	x
40	me	,	as	long	p	y	c	c
40	me	,	baby	#	p	,	n	f
40	me	,	for	instance	p	y	r	r
40	me	,	gim	me	p	y	v	p
40	me	,	i	told	p	,	p	v
40	me	,	i	tried	p	,	p	v
40	me	,	it	will	p	,	p	v
40	me	,	just	like	p	,	r	v
40	me	,	mate	.	p	,	n	.
40	me	,	motherfucker	!	p	,	n	!
40	me	,	mr	.	p	,	n	.
40	me	,	my	friend	p	y	a	n
40	me	,	no	,	p	,	u	,
40	me	,	or	my	p	y	c	a
40	me	,	or	what	p	,	c	d
40	me	,	she	says	p	y	p	v
40	me	,	the	real	p	y	a	j
40	me	,	these	are	p	y	d	v
40	me	,	we	'd	p	,	p	v
40	me	,	we	need	p	,	p	v
40	me	,	were	you	p	,	v	p
40	me	,	when	it	p	y	c	p
40	me	--	you	know	p	z	p	v
40	me	.	"	are	p	.	"	v
40	me	.	"	is	p	.	"	v
40	me	.	"	why	p	.	"	r
40	me	.	-	-	#	#	-	-
40	me	.	-	see	#	#	-	v
40	me	.	<p>	anonymous	p	y	y	j
40	me	.	and	in	p	.	c	i
40	me	.	and	why	p	.	c	r
40	me	.	as	for	p	y	i	i
40	me	.	because	of	p	y	i	i
40	me	.	come	in	p	.	v	r
40	me	.	i	decided	p	y	p	v
40	me	.	i	kept	p	.	p	v
40	me	.	i	suppose	p	y	p	v
40	me	.	it	could	p	y	p	v
40	me	.	it	seems	p	.	p	v
40	me	.	maybe	she	p	.	r	p
40	me	.	never	.	p	.	r	.
40	me	.	not	the	p	.	x	a
40	me	.	now	.	p	.	r	.
40	me	.	one	,	p	.	m	,
40	me	.	she	told	p	y	p	v
40	me	.	so	do	p	.	r	v
40	me	.	so	you	p	y	r	p
40	me	.	stop	.	p	.	v	.
40	me	.	woman	:	p	.	n	:
40	me	.	your	father	p	.	a	n
40	me	..	i	was	p	.	p	v
40	me	...	i	'm	p	y	p	v
40	me	?	-	look	p	?	-	v
40	me	?	?	when	p	?	?	c
40	me	?	he	was	p	?	p	v
40	me	?	i	see	p	?	p	v
40	me	?	if	you	p	y	c	p
40	me	?	shut	up	p	?	v	r
40	me	?	so	you	p	?	r	p
40	me	?	we	are	p	?	p	v
40	me	?	you	look	p	?	p	v
40	me	?	you	need	p	?	p	v
40	me	@!morrison	:	@(voiceover)	n	z	y	z
40	me	a	call	,	p	a	n	y
40	me	a	letter	.	p	a	n	.
40	me	a	little	,	p	r	r	,
40	me	a	lot	in	p	r	r	i
40	me	a	man	who	p	a	n	p
40	me	a	question	about	p	a	n	i
40	me	a	river	.	p	a	n	y
40	me	a	shot	.	p	a	n	.
40	me	a	while	,	p	a	n	y
40	me	about	a	time	p	i	a	n
40	me	about	them	.	p	i	p	y
40	me	again	why	i	p	r	r	p
40	me	all	along	.	p	d	r	.
40	me	all	at	once	p	r	r	r
40	me	and	call	me	p	c	v	p
40	me	and	him	.	p	c	p	y
40	me	and	it	is	p	c	p	v
40	me	and	kissed	me	p	c	v	p
40	me	and	one	for	p	c	p	i
40	me	and	there	's	p	c	e	v
40	me	and	they	said	p	c	p	v
40	me	and	took	my	p	c	v	a
40	me	and	want	to	p	c	v	t
40	me	and	we	can	p	c	p	v
40	me	ask	the	question	p	v	a	n
40	me	back	my	money	p	r	a	n
40	me	because	that	's	p	c	d	v
40	me	but	i	know	p	c	p	v
40	me	crazy	,	"	p	j	y	y
40	me	dead	in	the	p	j	i	a
40	me	down	the	road	p	i	a	n
40	me	exactly	what	i	p	r	d	p
40	me	feel	guilty	about	p	n	j	i
40	me	first	,	"	p	m	y	y
40	me	first	say	that	p	m	v	c
40	me	for	a	reason	p	i	a	n
40	me	for	years	,	p	i	n	y
40	me	from	day	one	p	i	n	p
40	me	from	now	on	p	r	r	r
40	me	give	you	something	p	v	p	p
40	me	he	'd	been	p	p	v	v
40	me	help	.	-	p	n	.	-
40	me	her	name	.	p	a	n	.
40	me	her	number	.	p	a	n	.
40	me	here	.	"	p	r	.	"
40	me	how	to	take	p	r	t	v
40	me	if	he	was	p	c	p	v
40	me	in	the	paths	p	i	a	n
40	me	in	there	?	p	i	r	?
40	me	it	was	my	p	p	v	a
40	me	it	was	not	p	p	v	x
40	me	just	say	it	p	r	v	p
40	me	just	say	to	p	r	v	i
40	me	let	you	in	p	v	p	r
40	me	like	she	's	p	c	p	v
40	me	mad	.	i	p	j	y	p
40	me	make	a	point	p	v	a	n
40	me	more	than	that	p	r	c	d
40	me	most	is	the	p	d	v	a
40	me	not	to	use	p	x	t	v
40	me	now	,	the	p	r	y	a
40	me	now	.	the	p	r	.	a
40	me	of	something	that	p	i	p	c
40	me	on	as	a	p	r	i	a
40	me	once	that	he	p	r	c	p
40	me	out	.	they	p	r	.	p
40	me	out	.	why	p	r	.	r
40	me	out	to	lunch	p	r	i	n
40	me	right	there	.	p	r	r	.
40	me	show	you	this	p	n	p	d
40	me	sick	,	"	p	j	y	y
40	me	something	about	the	p	p	i	a
40	me	something	like	that	p	p	i	d
40	me	something	to	look	p	p	t	v
40	me	start	with	the	p	v	i	a
40	me	stay	here	.	p	n	r	.
40	me	that	at	least	p	c	r	r
40	me	that	day	.	p	d	n	.
40	me	that	he	will	p	c	p	v
40	me	that	it	will	p	c	p	v
40	me	that	she	does	p	c	p	v
40	me	that	she	wanted	p	c	p	v
40	me	that	the	two	p	c	a	m
40	me	the	bad	guy	p	a	j	n
40	me	there	,	"	p	r	y	y
40	me	to	,	"	p	t	y	y
40	me	to	back	off	p	t	v	r
40	me	to	believe	i	p	t	v	p
40	me	to	bring	my	p	t	v	a
40	me	to	come	by	p	t	v	r
40	me	to	come	get	p	t	v	v
40	me	to	do	..	p	t	v	.
40	me	to	have	been	p	t	v	v
40	me	to	let	her	p	t	v	p
40	me	to	look	out	p	t	v	r
40	me	to	lunch	.	p	i	n	.
40	me	to	make	up	p	t	v	r
40	me	to	open	it	p	t	v	p
40	me	to	say	the	p	t	v	a
40	me	to	think	i	p	t	v	p
40	me	tomorrow	.	i	p	r	.	p
40	me	too	.	(	p	r	.	(
40	me	too	.	come	p	r	.	v
40	me	up	.	but	p	r	.	c
40	me	up	.	the	p	r	.	a
40	me	up	to	this	p	i	i	d
40	me	when	you	see	p	c	p	v
40	me	why	you	were	p	r	p	v
40	me	worry	about	the	p	n	i	a
40	me	would	have	been	p	v	v	v
40	me	wrong	.	<p>	p	j	y	y
40	me	you	did	not	p	p	v	x
40	mean	,	c'm	on	v	y	v	r
40	mean	,	every	time	v	y	a	n
40	mean	,	how	would	v	,	r	v
40	mean	,	i	felt	v	y	p	v
40	mean	,	i	heard	v	,	p	v
40	mean	,	i	see	v	y	p	v
40	mean	,	it	'll	v	,	p	v
40	mean	,	my	mom	v	,	a	n
40	mean	,	think	of	v	,	v	i
40	mean	,	this	has	v	,	d	v
40	mean	,	we	ca	v	y	p	v
40	mean	,	who	else	v	,	p	r
40	mean	,	why	ca	v	,	r	v
40	mean	,	why	did	v	y	r	v
40	mean	,	you	guys	v	y	p	n
40	mean	?	-	just	v	?	-	r
40	mean	?	i	ca	v	?	p	v
40	mean	?	what	?	v	?	d	?
40	mean	anything	.	you	v	p	.	p
40	mean	mean	,	,	v	v	,	,
40	mean	that	it	has	v	c	p	v
40	mean	well	,	but	v	r	,	c
40	mean	you	are	n't	v	p	v	x
40	mean	you	could	n't	v	p	v	x
40	meaning	in	their	lives	v	i	a	n
40	meaning	of	the	sentence	n	i	a	n
40	meanings	of	the	words	n	i	a	n
40	means	.	"	"	v	y	y	y
40	means	.	it	is	n	y	p	v
40	means	that	if	we	v	c	c	p
40	means	that	she	's	v	c	p	v
40	means	that	she	is	v	c	p	v
40	means	that	the	person	v	c	a	n
40	means	that	when	the	v	c	c	a
40	means	you	're	in	v	p	v	i
40	means	you	get	to	v	p	v	t
40	meant	as	a	joke	v	i	a	n
40	meant	that	i	would	v	c	p	v
40	meant	there	was	no	v	e	v	a
40	meant	to	appeal	to	v	t	v	i
40	meant	to	do	this	v	t	v	d
40	meant	to	hurt	anyone	v	t	v	p
40	meant	to	imply	that	v	t	v	c
40	meant	to	look	like	v	t	v	i
40	meantime	,	i	want	n	,	p	v
40	meanwhile	,	the	president	r	y	a	n
40	measures	,	however	,	n	y	r	y
40	measures	.	<p>	in	n	y	y	i
40	measures	.	however	,	n	y	r	y
40	meat	,	poultry	and	n	y	n	c
40	mecca	and	medina	.	n	c	n	y
40	mechanism	of	action	of	n	i	n	i
40	media	,	and	i	n	y	c	p
40	media	.	and	i	n	y	c	p
40	medicaid	,	medicare	,	n	y	n	y
40	medical	,	dental	,	j	y	j	y
40	medical	care	.	and	j	n	y	c
40	medical	school	.	i	j	n	.	p
40	medicare	&;	medicaid	services	n	z	n	n
40	medicine	.	it	's	n	.	p	v
40	medium	.	"	<p>	n	y	y	y
40	medium	heat	,	whisking	j	n	y	v
40	medium	skillet	over	medium	j	n	i	j
40	meet	a	guy	who	v	a	n	p
40	meet	back	at	the	v	r	i	a
40	meet	in	order	to	v	b	b	t
40	meet	me	here	.	v	p	r	.
40	meet	once	a	month	v	r	a	n
40	meet	the	growing	demand	v	a	j	n
40	meet	you	.	(	v	p	.	(
40	meeting	,	according	to	n	y	i	i
40	meeting	the	demands	of	v	a	n	i
40	meets	the	definition	of	v	a	n	i
40	member	of	the	women	n	i	a	n
40	member	of	your	team	n	i	a	n
40	members	.	it	was	n	y	p	v
40	members	:	(	in	n	y	y	i
40	members	and	friends	of	n	c	n	i
40	members	of	congress	for	n	i	n	i
40	members	of	our	group	n	i	a	n
40	members	of	the	"	n	i	a	"
40	members	of	the	health	n	i	a	n
40	members	of	this	committee	n	i	d	n
40	memorial	to	the	victims	n	i	a	n
40	memory	serves	me	right	n	v	p	r
40	men	's	basketball	and	n	g	n	c
40	men	's	room	-	n	g	n	-
40	men	,	"	and	n	y	y	c
40	men	,	deriving	their	n	y	v	a
40	men	,	not	women	n	y	x	n
40	men	all	over	the	n	r	i	a
40	men	and	black	women	n	c	j	n
40	men	and	women	be	n	c	n	v
40	men	and	women	working	n	c	n	v
40	men	at	the	top	n	i	a	n
40	men	of	the	cloth	n	i	a	n
40	men	of	the	same	n	i	a	d
40	mental	health	care	for	j	n	n	i
40	mental	health	services	research	j	n	n	v
40	mental	illness	,	but	j	n	y	c
40	mentally	ill	.	<p>	r	j	y	y
40	mention	of	it	.	n	i	p	y
40	mention	that	he	was	v	c	p	v
40	mentioned	at	the	outset	v	i	a	n
40	mentioned	in	the	story	v	i	a	n
40	mentioned	that	i	was	v	c	p	v
40	mentioned	that	she	had	v	c	p	v
40	meow	,	meow	,	v	,	v	,
40	merely	an	attempt	to	r	a	n	t
40	merry	christmas	,	everybody	j	n	,	p
40	mess	with	me	.	v	i	p	y
40	message	for	you	.	n	i	p	y
40	message	from	the	president	n	i	a	n
40	message	is	going	to	n	v	v	t
40	message	on	my	answering	n	i	a	j
40	message	to	the	president	n	i	a	n
40	messages	.	commercial	break	n	y	j	n
40	messed	up	,	and	v	r	,	c
40	met	a	girl	.	v	a	n	.
40	met	a	girl	who	v	a	n	p
40	met	a	young	man	v	a	j	n
40	met	the	guy	.	v	a	n	.
40	met	when	we	were	v	c	p	v
40	met	you	,	and	v	p	,	c
40	met	your	mother	,	v	a	n	y
40	method	,	in	which	n	y	i	d
40	methods	.	<p>	"	n	y	y	y
40	mexico	,	central	america	n	y	j	n
40	miami	university	in	ohio	n	n	i	n
40	michael	.	"	<p>	n	y	y	y
40	michael	.	-	i	n	.	-	p
40	michael	jackson	's	death	n	n	g	n
40	michel	.	@!martin	:	n	y	z	y
40	michigan	,	wisconsin	,	n	y	n	y
40	michigan	at	ann	arbor	n	i	n	n
40	michigan	state	university	and	n	n	n	c
40	middle	class	,	and	j	n	,	c
40	middle	east	.	(	j	n	y	y
40	middle	finger	of	his	j	n	i	a
40	middle	of	his	back	n	i	a	n
40	middle	of	something	,	n	i	p	,
40	middle	of	the	fucking	n	i	a	j
40	middle	third	of	the	n	m	i	a
40	middle-aged	man	in	a	j	n	i	a
40	midst	of	the	most	n	i	a	r
40	midway	point	of	the	n	n	i	a
40	might	,	just	might	v	y	r	v
40	might	allow	us	to	v	v	p	t
40	might	at	least	have	v	r	r	v
40	might	be	.	he	v	v	y	p
40	might	be	different	if	v	v	j	c
40	might	be	encouraged	to	v	v	v	t
40	might	be	that	you	v	v	c	p
40	might	best	be	described	v	r	v	v
40	might	cheer	you	up	v	v	p	r
40	might	give	me	a	v	v	p	a
40	might	go	to	a	v	v	i	a
40	might	happen	to	you	v	v	i	p
40	might	have	become	a	v	v	v	a
40	might	have	been	written	v	v	v	v
40	might	have	done	that	v	v	v	d
40	might	have	seemed	like	v	v	v	i
40	might	have	something	.	v	v	p	.
40	might	have	thought	it	v	v	v	p
40	might	have	to	leave	v	v	t	v
40	might	interfere	with	the	v	v	i	a
40	might	like	to	go	v	v	t	v
40	might	need	to	make	v	v	t	v
40	might	not	like	what	v	x	v	d
40	might	not	think	of	v	x	v	i
40	might	say	.	but	v	v	y	c
40	might	still	have	a	v	r	v	a
40	might	take	advantage	of	v	v	n	i
40	might	want	to	bring	v	v	t	v
40	might	want	to	listen	v	v	t	v
40	migratory	bird	treaty	act	j	n	n	n
40	milan	,	italy	,	n	y	n	y
40	miles	,	and	the	n	y	c	a
40	miles	said	.	"	n	v	y	y
40	miles	to	the	northwest	n	i	a	n
40	military	's	ability	to	n	g	n	t
40	military	,	economic	,	j	y	j	y
40	military	intervention	.	<p>	j	n	y	y
40	military	personnel	.	<p>	j	n	y	y
40	military	service	in	the	j	n	i	a
40	milky	way	,	the	j	n	y	a
40	milky	way	and	andromeda	j	n	c	n
40	milligrams	sodium	,	1	n	n	y	m
40	million	;	fy	'	m	y	n	g
40	million	<p>	sport	:	m	y	n	y
40	million	a	year	--	m	a	n	x
40	million	americans	who	are	n	n	p	v
40	million	dollars	for	the	n	n	c	a
40	million	light-years	away	.	m	n	r	y
40	million	men	and	women	m	n	c	n
40	million	new	jobs	,	n	j	n	y
40	million	new	jobs	.	n	j	n	y
40	million	over	two	years	m	r	m	n
40	million	people	who	have	n	n	p	v
40	million	years	or	so	m	n	c	r
40	millions	of	people	and	m	i	n	c
40	millions	of	taxpayer	dollars	n	i	n	n
40	mind	,	is	the	n	y	v	a
40	mind	,	it	was	n	,	p	v
40	mind	,	too	.	n	y	r	y
40	mind	,	we	can	n	y	p	v
40	mind	.	<p>	"	v	y	y	y
40	mind	.	all	right	n	.	r	r
40	mind	.	hey	,	v	.	u	,
40	mind	.	i	ca	n	.	p	v
40	mind	.	okay	.	n	.	r	.
40	mind	.	there	are	n	y	e	v
40	mind	.	there	is	n	y	e	v
40	mind	.	yeah	.	n	.	u	.
40	mind	?	oh	,	v	?	u	,
40	mind	of	god	,	n	i	n	y
40	mind	was	filled	with	n	v	v	i
40	mind	when	it	comes	n	c	p	v
40	mind	you	.	i	v	p	y	p
40	mindful	independent	reader-created	media	j	j	j	n
40	mine	.	i	think	p	.	p	v
40	minister	of	the	environment	n	i	a	n
40	ministry	of	interior	,	n	i	n	y
40	ministry	of	science	and	n	i	n	c
40	minorities	,	and	the	n	y	c	a
40	minority	.	"	<p>	n	y	y	y
40	minute	,	stirring	.	n	y	v	y
40	minute	.	-	yeah	n	.	-	u
40	minute	.	i	'll	n	y	p	v
40	minute	.	i	want	n	y	p	v
40	minute	.	yeah	.	n	.	u	.
40	minute	.	you	mean	n	.	p	v
40	minutes	,	then	add	n	y	r	v
40	minutes	,	which	is	n	y	d	v
40	minutes	.	-	yeah	n	.	-	u
40	minutes	.	and	i	n	y	c	p
40	minutes	.	can	you	n	.	v	p
40	minutes	.	garnish	with	n	y	v	i
40	minutes	/	total	time	n	f	j	n
40	minutes	ago	,	i	n	r	y	p
40	minutes	ago	.	<p>	n	r	y	y
40	minutes	and	20	seconds	n	c	m	n
40	minutes	i	will	be	n	p	v	v
40	minutes	or	until	toothpick	n	c	c	n
40	miranda	said	.	"	n	v	y	y
40	miss	.	"	<p>	v	y	y	y
40	miss	her	.	"	v	p	y	y
40	miss	me	when	i	v	p	r	p
40	missed	.	<p>	"	v	y	y	y
40	missed	the	chance	to	v	a	n	t
40	missed	the	first	time	v	a	m	n
40	missing	.	i	'm	v	.	p	v
40	missing	the	point	,	v	a	n	,
40	mission	.	"	the	n	y	y	a
40	mission	.	<p>	in	n	y	y	i
40	mission	is	to	be	n	v	t	v
40	mistake	.	"	i	n	y	y	p
40	mistake	.	qwq	@	n	y	x	i
40	mistake	has	been	made	n	v	v	v
40	mistake	me	for	a	v	p	i	a
40	mitt	romney	's	"	n	n	g	y
40	mitt	romney	,	the	v	n	y	a
40	mixer	at	high	speed	n	i	j	n
40	mm	.	thank	you	u	.	v	p
40	mm-hmm	.	@!bradley	:	u	y	z	y
40	mm-hmm	.	@!gibson	:	u	y	z	y
40	mm-hmm	.	do	n't	u	.	v	x
40	mmm	,	that	's	u	,	d	v
40	modern	art	,	the	j	n	y	a
40	modern	art	and	the	j	n	c	a
40	modern	era	.	<p>	j	n	y	y
40	modern	times	,	the	j	n	y	a
40	mol	.	cell	.	n	.	n	.
40	mom	,	"	says	n	y	y	v
40	mom	,	"	she	n	,	"	p
40	mom	,	why	do	n	,	r	v
40	mom	,	you	ca	n	,	p	v
40	mom	.	#	"	n	.	f	"
40	mom	?	"	she	n	y	y	p
40	mom	and	dad	got	n	c	n	v
40	moment	,	he	is	n	y	p	v
40	moment	.	<p>	"	n	.	n	"
40	moment	.	do	n't	n	.	v	x
40	moment	.	i	am	n	y	p	v
40	moment	of	conception	.	n	i	n	y
40	moments	.	<p>	"	n	y	y	y
40	moments	.	<p>	the	n	y	y	a
40	mommy	,	i	'm	n	y	p	v
40	mommy	,	mommy	,	n	y	n	y
40	monday	,	and	the	n	y	c	a
40	monday	morning	.	the	n	n	y	a
40	monday	of	each	month	n	i	d	n
40	money	"	.	<p>	n	y	y	y
40	money	,	at	least	n	y	r	r
40	money	,	but	in	n	y	c	i
40	money	,	i	'll	n	y	p	v
40	money	,	i	do	n	,	p	v
40	money	,	not	to	n	y	x	t
40	money	.	"	the	n	.	"	a
40	money	.	we	do	n	.	p	v
40	money	.	we	have	n	.	p	v
40	money	?	-	you	n	?	-	p
40	money	and	spend	it	n	c	v	p
40	money	and	they	're	n	c	p	v
40	money	and	time	,	n	c	n	y
40	money	back	in	the	n	r	i	a
40	money	can	be	made	n	v	v	v
40	money	for	their	own	n	i	a	d
40	money	from	china	to	n	i	n	i
40	money	has	to	come	n	v	t	v
40	money	left	over	for	n	v	r	i
40	money	on	health	care	n	i	n	n
40	money	to	charity	.	n	i	n	y
40	money	to	pay	back	n	t	v	r
40	money	to	the	states	n	i	a	n
40	monkey	see	,	monkey	n	v	y	n
40	month	,	and	they	n	y	c	p
40	month	ago	.	-	n	r	.	-
40	month	for	the	next	n	i	a	m
40	month	later	,	when	n	r	y	c
40	months	,	at	least	n	y	r	r
40	months	,	depending	on	n	y	i	i
40	months	.	"	<p>	n	.	"	n
40	months	.	there	are	n	y	e	v
40	months	.	we	're	n	.	p	v
40	months	after	the	fact	n	i	a	n
40	months	after	the	storm	n	i	a	n
40	months	ago	<p>	the	n	r	y	a
40	months	in	order	to	n	b	b	t
40	months	later	,	as	n	r	y	c
40	months	later	.	i	n	r	y	p
40	months	of	work	,	n	i	n	y
40	more	,	and	the	r	,	c	a
40	more	,	they	are	r	y	p	v
40	more	,	too	.	r	y	r	y
40	more	.	.	.	d	y	y	y
40	more	.	and	that	r	y	c	d
40	more	.	but	i	r	.	c	p
40	more	.	i	've	d	y	p	v
40	more	.	we	're	r	.	p	v
40	more	.	we	are	r	y	p	v
40	more	?	-	no	d	?	-	u
40	more	about	all	of	r	i	d	i
40	more	about	it	in	r	i	p	i
40	more	about	that	,	r	i	d	y
40	more	about	that	.	r	i	d	.
40	more	about	this	.	r	i	d	.
40	more	and	more	into	d	c	r	i
40	more	are	in	the	d	v	i	a
40	more	careful	about	what	r	j	i	d
40	more	careful	in	the	r	j	i	a
40	more	committed	to	the	r	v	i	a
40	more	cops	on	the	d	n	i	a
40	more	days	per	week	d	n	i	n
40	more	difficult	and	more	r	j	c	r
40	more	difficult	because	of	r	j	i	i
40	more	each	day	.	r	d	n	y
40	more	efficient	way	of	r	j	n	i
40	more	example	of	how	d	n	i	r
40	more	expensive	in	the	r	j	i	a
40	more	frequent	use	of	r	j	n	i
40	more	from	you	.	r	i	p	y
40	more	if	you	're	r	c	p	v
40	more	important	,	to	r	j	y	t
40	more	important	as	a	r	j	i	a
40	more	important	now	than	r	j	r	c
40	more	information	,	contact	d	n	y	n
40	more	information	:	<p>	d	n	y	y
40	more	information	about	our	d	n	i	a
40	more	information	is	needed	d	n	v	v
40	more	like	a	family	r	i	a	n
40	more	like	him	.	r	i	p	y
40	more	likely	to	bring	r	j	t	v
40	more	likely	to	run	r	j	t	v
40	more	money	than	their	d	n	c	a
40	more	of	a	business	d	i	a	n
40	more	of	a	mess	d	i	a	n
40	more	of	in	the	d	i	i	a
40	more	of	the	population	d	i	a	n
40	more	of	what	's	d	i	d	v
40	more	or	less	,	d	c	r	y
40	more	people	than	i	d	n	c	p
40	more	popular	with	the	r	j	i	a
40	more	powerful	and	more	r	j	c	r
40	more	real	to	me	r	j	i	p
40	more	so	,	the	r	r	y	a
40	more	so	because	it	r	r	c	p
40	more	than	$	20	d	c	m	m
40	more	than	1,500	people	d	c	m	n
40	more	than	25	million	d	c	m	n
40	more	than	250	people	d	c	m	n
40	more	than	98	percent	d	c	m	n
40	more	than	a	bit	r	c	r	r
40	more	than	a	dream	d	c	a	n
40	more	than	half	have	d	c	d	v
40	more	than	once	on	d	c	r	i
40	more	than	one-fifth	of	d	c	m	i
40	more	than	she	does	d	c	p	v
40	more	than	they	did	r	c	p	v
40	more	than	they	need	r	c	p	v
40	more	than	three	to	d	c	m	i
40	more	than	two	children	d	c	m	n
40	more	than	you	realize	d	c	p	v
40	more	time	than	that	d	n	c	d
40	more	times	per	week	d	n	i	n
40	more	to	being	a	r	i	v	a
40	more	trouble	than	you	d	n	c	p
40	more	we	talk	about	r	p	v	i
40	more	women	and	minorities	d	n	c	n
40	more	work	than	i	d	n	c	p
40	moreover	,	if	we	r	y	c	p
40	moreover	,	there	is	r	,	e	v
40	morning	,	america	,	n	y	n	y
40	morning	,	as	he	n	y	c	p
40	morning	,	he	said	n	y	p	v
40	morning	,	soledad	.	n	y	n	y
40	morning	,	the	sun	n	y	a	n
40	morning	.	-	it	n	.	-	p
40	morning	.	i	've	n	y	p	v
40	morning	.	she	had	n	y	p	v
40	morning	.	we	were	n	y	p	v
40	morning	?	oh	,	n	?	u	,
40	mortality	in	the	united	n	i	a	n
40	most	beautiful	of	all	r	j	i	d
40	most	companies	do	n't	d	n	v	x
40	most	exciting	thing	i	r	j	n	p
